n,T,gtype,ttype,md,Avg BP Explored,Total BP,BP Explored (%),Geom Run-Time (%),Add Run-Time (ms),SP Run-Time (ms),Avg #Arcs in Soln,Avg #Subpaths in Soln,Avg DDD Run-Time (ms),Avg Enum Run-Time (ms),Run-Time (%),Iterations
50,80,1,2,0,733.9,3873,18.9491,0.70105,2240.4,6677.9,7.5,5.2,9307.3,12410.5,74.9954,92
50,80,2,1,0,1185.9,3873,30.6197,2.48879,2040.8,26430.7,13,3.7,29035.7,10942.2,265.355,184
50,80,2,2,0,1055,3873,27.2399,1.55753,1796.2,16082.1,13,6.2,18364.6,11628.9,157.922,141
50,80,3,1,0,800.3,3873,20.6636,1.08271,2065.3,10678.7,8.7,3.8,13102,10826.3,121.02,124
50,80,3,2,0,801.9,3873,20.7049,0.90675,2068.1,8921.8,8.7,5,11355.9,11462.8,99.0674,107
50,100,1,1,0,916.8,4853,18.8914,0.83775,2912.6,10795.8,7.6,4.1,14171.2,15051.5,94.1514,112
50,100,1,2,0,897.7,4853,18.4978,0.681228,2858.8,8296.7,7.5,5.3,11592,15909,72.8644,92
50,100,2,1,0,1364.5,4853,28.1166,2.11702,2407.3,28658.7,13,4,31749.3,14288.6,222.2,171
50,100,2,2,0,1301,4853,26.8082,1.51517,2249.7,20087.7,13,6.5,22969.5,14946.4,153.679,140
50,100,3,1,0,982,4853,20.2349,1.0688,2672.5,13779.5,8.7,4.2,16932.8,14222.8,119.054,124
50,100,3,2,0,991.2,4853,20.4245,0.907508,2629.7,11333.6,8.7,5.4,14428,14673.4,98.3276,108
n,T,gtype,ttype,md,Avg BP Explored,Total BP,BP Explored (%),Geom Run-Time (%),Add Run-Time (ms),SP Run-Time (ms),Avg #Arcs in Soln,Avg #Subpaths in Soln,Avg DDD Run-Time (ms),Avg Enum Run-Time (ms),Run-Time (%),Iterations
30,20,1,1,0,151,553,27.3056,1.00439,166.5,407.4,5.1,3.8,667,657.8,101.399,74
30,20,1,2,0,153.3,553,27.7215,0.951912,170.7,384.3,5.1,4.1,652.6,668,97.6946,61
