Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Iterations,Opt Obj
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Iterations,Opt Obj
1,1,45,3,0,0,9,1,59,2.27464
1,0,553,36,0,0,9,1,0,2.27464
0,1,232,383,1,323,9,5,11,2.16024
0,0,553,146,0,0,9,5,0,2.16024
1,1,30,2,0,0,9,1,38,2.20419
1,0,553,38,0,0,9,1,0,2.20201
0,1,279,538,1,464,9,6,14,2.1282
0,0,553,134,0,0,9,6,0,2.1282
1,1,31,2,0,0,9,1,37,2.48915
1,0,553,35,0,0,9,1,0,2.48915
0,1,335,844,3,746,9,5,18,2.41167
0,0,553,145,0,0,9,5,0,2.41167
1,1,32,2,0,0,9,1,39,2.20082
1,0,553,35,0,0,9,1,0,2.20082
0,1,294,544,0,471,9,6,15,2.11855
0,0,553,155,0,0,9,6,0,2.11855
1,1,26,2,0,0,9,1,31,2.14933
1,0,553,38,0,0,9,1,0,2.14933
0,1,262,580,3,496,9,5,13,2.07793
0,0,553,179,0,0,9,5,0,2.07793
1,1,52,5,0,0,9,1,65,2.03453
1,0,553,37,0,0,9,1,0,2.03453
0,1,219,247,1,196,9,5,10,1.91911
0,0,553,125,0,0,9,5,0,1.91911
1,1,39,3,0,0,9,1,47,2.16978
1,0,553,34,0,0,9,1,0,2.16978
0,1,264,475,4,396,9,6,13,2.07701
0,0,553,131,0,0,9,6,0,2.07701
1,1,55,4,0,0,9,1,71,2.38744
1,0,553,36,0,0,9,1,0,2.38744
0,1,214,250,0,201,9,5,10,2.24487
0,0,553,135,0,0,9,5,0,2.24487
1,1,27,2,0,0,9,1,37,2.20112
1,0,553,34,0,0,9,1,0,2.19996
0,1,218,269,1,216,9,6,10,2.06999
0,0,553,124,0,0,9,6,0,2.06999
1,1,51,4,0,0,9,1,63,2.52124
1,0,553,35,0,0,9,1,0,2.52124
0,1,336,845,2,756,9,6,18,2.34859
0,0,553,140,0,0,9,6,0,2.34859
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Iterations,Opt Obj
1,1,42,6,0,0,7,1,47,2.62953
1,0,553,50,0,0,7,1,0,2.62953
0,1,221,350,1,274,7,3,13,2.51991
0,0,553,133,0,0,7,3,0,2.51991
1,1,32,5,0,0,8,1,40,2.07535
1,0,553,56,0,0,8,1,0,2.07535
0,1,190,212,1,152,7,5,10,2.04619
0,0,553,124,0,0,7,5,0,2.04619
1,1,37,5,0,0,8,1,45,2.32511
1,0,553,50,0,0,8,1,0,2.32511
0,1,188,235,0,179,8,4,10,2.24844
0,0,553,130,0,0,8,4,0,2.24844
1,1,20,2,0,0,7,1,22,2.08783
1,0,553,50,0,0,7,1,0,2.08783
0,1,177,147,1,96,7,3,9,2.08059
0,0,553,96,0,0,7,3,0,2.08059
1,1,35,5,0,0,7,1,43,2.02974
1,0,553,56,0,0,7,1,0,2.02974
0,1,174,156,2,104,7,4,9,1.97665
0,0,553,108,0,0,7,4,0,1.97665
1,1,33,5,0,0,7,1,37,2.12157
1,0,553,50,0,0,7,1,0,2.12157
0,1,174,151,3,97,7,4,9,2.04629
0,0,553,98,0,0,7,4,0,2.04629
1,1,21,3,0,0,7,1,24,2.24886
1,0,553,52,0,0,7,1,0,2.24886
0,1,177,197,3,137,7,5,9,2.22261
0,0,553,128,0,0,7,5,0,2.22261
1,1,18,2,0,0,5,1,20,2.21753
1,0,553,52,0,0,5,1,0,2.21753
0,1,149,156,1,108,5,4,7,2.20824
0,0,553,159,0,0,5,4,0,2.20824
1,1,27,4,0,0,6,1,31,2.20989
1,0,553,53,0,0,6,1,0,2.20989
0,1,161,211,10,136,6,2,8,2.19957
0,0,553,131,0,0,6,2,0,2.19957
1,1,34,5,0,0,6,1,42,2.08993
1,0,553,51,0,0,6,1,0,2.08993
0,1,162,137,0,93,6,4,8,2.07122
0,0,553,107,0,0,6,4,0,2.07122
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Iterations,Opt Obj
1,1,42,7,0,0,6,1,49,2.90932
1,0,553,55,0,0,6,1,0,2.90932
0,1,235,401,4,314,8,5,12,2.62379
0,0,553,154,0,0,8,5,0,2.62379
1,1,38,5,0,0,8,1,45,2.19977
1,0,553,59,0,0,8,1,0,2.19977
0,1,231,311,1,240,8,5,11,2.13068
0,0,553,145,0,0,8,5,0,2.13068
1,1,48,7,0,0,8,1,59,2.52155
1,0,553,57,0,0,8,1,0,2.52155
0,1,197,243,0,183,8,5,9,2.33769
0,0,553,148,0,0,8,5,0,2.33769
1,1,24,3,0,0,7,1,28,2.18087
1,0,553,55,0,0,7,1,0,2.18087
0,1,186,147,1,93,7,4,8,2.12283
0,0,553,103,0,0,7,4,0,2.12283
1,1,30,4,0,0,7,1,36,2.24819
1,0,553,53,0,0,7,1,0,2.24819
0,1,181,167,0,114,7,4,8,2.0668
0,0,553,115,0,0,7,4,0,2.0668
1,1,43,5,0,0,7,1,48,2.32031
1,0,553,55,0,0,7,1,0,2.32031
0,1,184,162,4,102,7,5,8,2.10547
0,0,553,117,0,0,7,5,0,2.10547
1,1,37,6,0,0,7,1,51,2.37382
1,0,553,55,0,0,7,1,0,2.37382
0,1,185,172,1,113,7,4,8,2.26894
0,0,553,119,0,0,7,4,0,2.26894
1,1,18,3,0,0,5,1,19,2.29035
1,0,553,54,0,0,5,1,0,2.29035
0,1,153,123,0,80,5,4,6,2.27217
0,0,553,129,0,0,5,4,0,2.27217
1,1,19,2,0,0,6,1,21,2.29427
1,0,553,53,0,0,6,1,0,2.29427
0,1,168,145,2,96,6,4,7,2.24595
0,0,553,124,0,0,6,4,0,2.24595
1,1,27,4,0,0,6,1,33,2.21047
1,0,553,53,0,0,6,1,0,2.21047
0,1,168,137,0,93,6,5,7,2.13181
0,0,553,127,0,0,6,5,0,2.13181
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Iterations,Opt Obj
1,1,45,15,0,0,8,1,55,2.26536
1,0,933,182,0,0,8,1,0,2.26536
0,1,272,1060,32,870,8,4,13,2.2341
0,0,933,741,0,0,8,4,0,2.2341
1,1,44,20,0,0,7,1,52,2.12217
1,0,933,208,0,0,7,1,0,2.12217
0,1,276,1288,31,1096,7,3,13,2.10609
0,0,933,637,0,0,7,3,0,2.10609
1,1,34,15,0,0,7,1,39,2.04445
1,0,933,199,0,0,7,1,0,2.04445
0,1,373,2501,68,2196,8,3,20,2.02986
